Port Name,Date,Value
Turner,6/1/2016 00:00,2529
Turner,6/1/2017 00:00,2657
Turner,6/1/2018 00:00,2530
Turner,6/1/2019 00:00,2548
Turner,7/1/1996 00:00,4496
Turner,7/1/1997 00:00,3768
Turner,7/1/1998 00:00,2569
Turner,7/1/1999 00:00,2552
Turner,7/1/2000 00:00,3062
Turner,7/1/2001 00:00,2290
Turner,7/1/2002 00:00,1979
Turner,7/1/2003 00:00,2027
Turner,7/1/2004 00:00,1891
Turner,7/1/2005 00:00,2171
Turner,7/1/2006 00:00,2189
Turner,7/1/2007 00:00,2408
Turner,7/1/2008 00:00,3003
Turner,7/1/2009 00:00,2718
Turner,7/1/2010 00:00,3569
Turner,7/1/2011 00:00,3227
Turner,7/1/2012 00:00,4099
Turner,7/1/2013 00:00,4367
Turner,7/1/2014 00:00,4307
Turner,7/1/2015 00:00,3830
Turner,7/1/2016 00:00,3924
Turner,7/1/2017 00:00,3556
Turner,7/1/2018 00:00,3371
Turner,7/1/2019 00:00,3314
Turner,8/1/1996 00:00,3499
Turner,8/1/1997 00:00,3130
Turner,8/1/1998 00:00,2439
Turner,8/1/1999 00:00,2848
Turner,8/1/2000 00:00,2435
Turner,8/1/2001 00:00,2201
Turner,8/1/2002 00:00,1790
Turner,8/1/2003 00:00,1710
Turner,8/1/2004 00:00,1829
Turner,8/1/2005 00:00,1863
Turner,8/1/2006 00:00,1731
Turner,8/1/2007 00:00,2396
Turner,8/1/2008 00:00,3086
Turner,8/1/2009 00:00,2350
Turner,8/1/2010 00:00,3291
Turner,8/1/2011 00:00,3499
Turner,8/1/2012 00:00,3809
Turner,8/1/2013 00:00,4797
Turner,8/1/2014 00:00,4616
Turner,8/1/2015 00:00,2960
Turner,8/1/2016 00:00,3299
Turner,8/1/2017 00:00,3623
Turner,8/1/2018 00:00,3338
Turner,8/1/2019 00:00,3468
Turner,9/1/1996 00:00,2406
Turner,9/1/1997 00:00,2316
Turner,9/1/1998 00:00,1542
Turner,9/1/1999 00:00,1783
Turner,9/1/2000 00:00,1563
Turner,9/1/2001 00:00,1254
Turner,9/1/2002 00:00,1238
Turner,9/1/2003 00:00,1205
Turner,9/1/2004 00:00,1332
Turner,9/1/2005 00:00,300
Turner,9/1/2006 00:00,1423
Turner,9/1/2007 00:00,1555
Turner,9/1/2008 00:00,1486
Turner,9/1/2009 00:00,1803
Turner,9/1/2010 00:00,2315
Turner,9/1/2011 00:00,2411
Turner,9/1/2012 00:00,2854
Turner,9/1/2013 00:00,2789
Turner,9/1/2014 00:00,2497
Turner,9/1/2015 00:00,1982
Turner,9/1/2016 00:00,2212
Turner,9/1/2017 00:00,2300
Turner,9/1/2018 00:00,2068
Turner,9/1/2019 00:00,1778
Van Buren,1/1/1996 00:00,98160
Van Buren,1/1/1997 00:00,87614
Van Buren,1/1/1998 00:00,101979
Van Buren,1/1/1999 00:00,77937
Van Buren,1/1/2000 00:00,70961
Van Buren,1/1/2001 00:00,72719
Van Buren,1/1/2002 00:00,60522
Van Buren,1/1/2003 00:00,70427
Van Buren,1/1/2004 00:00,70894
Van Buren,1/1/2005 00:00,74766
Van Buren,1/1/2006 00:00,80899
Van Buren,1/1/2007 00:00,67939
Van Buren,1/1/2008 00:00,69788
Van Buren,1/1/2009 00:00,44819
Van Buren,1/1/2010 00:00,52619
Van Buren,1/1/2011 00:00,49701
