A,State,Date,Value
473,ID,5/1/2009 0:00,77290
474,ID,5/1/2010 0:00,86017
475,ID,5/1/2011 0:00,89070
476,ID,5/1/2012 0:00,86387
477,ID,5/1/2013 0:00,90328
478,ID,5/1/2014 0:00,96364
479,ID,5/1/2015 0:00,81569
480,ID,5/1/2016 0:00,72393
481,ID,5/1/2017 0:00,76659
482,ID,5/1/2018 0:00,79543
483,ID,5/1/2019 0:00,74752
484,ID,6/1/1996 0:00,94961
485,ID,6/1/1997 0:00,92971
486,ID,6/1/1998 0:00,85018
487,ID,6/1/1999 0:00,85766
488,ID,6/1/2000 0:00,81875
489,ID,6/1/2001 0:00,83157
490,ID,6/1/2002 0:00,73098
491,ID,6/1/2003 0:00,66650
492,ID,6/1/2004 0:00,63142
493,ID,6/1/2005 0:00,68299
494,ID,6/1/2006 0:00,74201
495,ID,6/1/2007 0:00,54973
496,ID,6/1/2008 0:00,94134
497,ID,6/1/2009 0:00,71706
498,ID,6/1/2010 0:00,89353
499,ID,6/1/2011 0:00,93752
500,ID,6/1/2012 0:00,93747
501,ID,6/1/2013 0:00,94855
502,ID,6/1/2014 0:00,99147
503,ID,6/1/2015 0:00,89472
504,ID,6/1/2016 0:00,81298
505,ID,6/1/2017 0:00,81362
506,ID,6/1/2018 0:00,86120
507,ID,6/1/2019 0:00,86295
508,ID,7/1/1996 0:00,122625
509,ID,7/1/1997 0:00,116312
510,ID,7/1/1998 0:00,112505
511,ID,7/1/1999 0:00,121669
512,ID,7/1/2000 0:00,118592
513,ID,7/1/2001 0:00,114521
514,ID,7/1/2002 0:00,96512
515,ID,7/1/2003 0:00,79221
516,ID,7/1/2004 0:00,86336
517,ID,7/1/2005 0:00,100051
518,ID,7/1/2006 0:00,97353
519,ID,7/1/2007 0:00,103746
520,ID,7/1/2008 0:00,118945
521,ID,7/1/2009 0:00,99523
522,ID,7/1/2010 0:00,128287
523,ID,7/1/2011 0:00,137731
524,ID,7/1/2012 0:00,131262
525,ID,7/1/2013 0:00,130551
526,ID,7/1/2014 0:00,136258
527,ID,7/1/2015 0:00,126614
528,ID,7/1/2016 0:00,120442
529,ID,7/1/2017 0:00,113420
530,ID,7/1/2018 0:00,118220
531,ID,7/1/2019 0:00,120716
532,ID,8/1/1996 0:00,128016
533,ID,8/1/1997 0:00,121147
534,ID,8/1/1998 0:00,102296
535,ID,8/1/1999 0:00,121251
536,ID,8/1/2000 0:00,118106
537,ID,8/1/2001 0:00,121665
538,ID,8/1/2002 0:00,98849
539,ID,8/1/2003 0:00,91395
540,ID,8/1/2004 0:00,80089
541,ID,8/1/2005 0:00,83362
542,ID,8/1/2006 0:00,98483
543,ID,8/1/2007 0:00,82865
544,ID,8/1/2008 0:00,123565
545,ID,8/1/2009 0:00,103417
